,CellLineName,TissueMetaclass,DoublingTime,GDSC_CellLine,CCLE_CellLine,SeedingDensity,EMT,unique.id,isBlood,isBone,isBone.Marrow,isBrain,isBreast,isCervix,isColon,isConnective.Tissue,isEsophagus,isHead.and.Neck,isKidney,isLiver,isLung,isLymphoid,isMuscle,isOvary,isPancreas,isProstate,isSkin,isSmall.Intestine,isStomach,isUnclassified,isUninary,isUterus,DNADamageMutation,PI3K,MAPK,tissueid,Cell line,Tissue Supergroup,Metastatic Tissue,Primary Tissue,Tissue Diagnosis,Age,Age Unit,Gender,Ethnicity,SNP Cluster Number,In Final Analysis Set,Growth Media,Freeze Media,CCLE ID,Sanger ID
NCI-H2052,NCI-H2052,Lung,NA,NCI-H2052,NCI-H2052,988,-0.453635418,NCI-H2052,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,pleura,NCI-H2052,Other,NA,Pleura,Mesothelioma,NA,NA,NA,NA,83,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H2052,NCI-H2052
NCI-H2122,NCI-H2122,Lung,30,NCI-H2122,NCI-H2122,2370,1.006826449,NCI-H2122,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,lung,NCI-H2122,Lung,"Effusion, Pleural",Lung,Carcinoma Non-Small Cell,46,Years,Female,Caucasian,358,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","FBS, 90%; DMSO, 10%",NCI-H2122,NA
NCI-H2170,NCI-H2170,Lung,43,NCI-H2170,NCI-H2170,6813,0.787420789,NCI-H2170,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,lung,NCI-H2170,Lung,NA,Lung,Carcinoma Squamous Cell,NA,NA,Male,NA,146,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","FBS, 90%; DMSO, 10%",NCI-H2170,NCI-H2170
NCI-H2171,NCI-H2171,Lung,NA,NCI-H2171,NA,5129,0.215011148,NCI-H2171,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,lung,NCI-H2171,Lung,"Effusion, Pleural",Lung,Carcinoma Small Cell,50,Years,Male,Caucasian,86,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H2171,NCI-H2171
NCI-H2228,NCI-H2228,Lung,50,NCI-H2228,NCI-H2228,3873,0.162816858,NCI-H2228,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,lung,NCI-H2228,Lung,NA,Lung,Carcinoma Non-Small Cell,NA,NA,Female,NA,342,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H2228,NCI-H2228
NCI-H226,NCI-H226,Lung,40,NCI-H226,NCI-H226,741,-0.147871803,NCI-H226,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,lung,NCI-H226,Lung,Ascites,Lung,Mesothelioma,NA,NA,Male,NA,386,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H226,NCI-H226
NCI-H23,NCI-H23,Lung,37,NCI-H23,NCI-H23,1152,-0.45268858,NCI-H23,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,1.352608226,lung,NCI-H23,Lung,NA,Lung,Carcinoma Non-Small Cell,51,Years,Male,African,226,FALSE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H23,NCI-H23
NCI-H2347,NCI-H2347,Lung,62,NCI-H2347,NA,520,0.794244364,NCI-H2347,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,lung,NCI-H2347,Lung,NA,Lung,Carcinoma Non-Small Cell,54,Years,Female,Caucasian,181,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H2347,NCI-H2347
NCI-H2405,NCI-H2405,Lung,47,NCI-H2405,NA,2601,NA,NCI-H2405,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCI-H2452,NCI-H2452,Lung,44,NCI-H2452,NCI-H2452,705,-0.613523877,NCI-H2452,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,pleura,NCI-H2452,Lung,NA,Lung,Mesothelioma,NA,NA,NA,NA,81,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H2452,NCI-H2452
NCI-H28,NCI-H28,Lung,35,NCI-H28,NCI-H28,471,-0.857070748,NCI-H28,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,pleura,NCI-H28,Other,NA,Pleura,Mesothelioma,NA,NA,NA,NA,80,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H28,NCI-H28
NCI-H292,NCI-H292,Lung,NA,NCI-H292,NA,968,1.031413738,NCI-H292,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,lung,NCI-H292,Lung,NA,Lung,Carcinoma Mucoepidermoid,32,Years,Female,African,357,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H292,NCI-H292
NCI-H358,NCI-H358,Lung,50,NCI-H358,NCI-H358,2130,0.764455403,NCI-H358,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,lung,NCI-H358,Lung,NA,Lung,Carcinoma Non-Small Cell,NA,NA,NA,NA,387,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H358,NCI-H358
NCI-H441,NCI-H441,Lung,43,NCI-H441,NCI-H441,1851,0.922989636,NCI-H441,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,1.352608226,lung,NCI-H441,Lung,NA,Lung,Adenocarcinoma Papillary,NA,NA,Male,NA,356,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H441,NCI-H441
NCI-H446,NCI-H446,Lung,57,NCI-H446,NA,4113,-0.089250841,NCI-H446,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,-0.738098397,lung,NCI-H446,Lung,NA,Lung,Carcinoma Small Cell,61,Years,Male,Caucasian,231,TRUE,"RPMI-1640 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H446,NCI-H446
NCI-H460,NCI-H460,Lung,23,NCI-H460,NCI-H460,590,-0.445963655,NCI-H460,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,1.352608226,lung,NCI-H460,Lung,"Effusion, Pleural",Lung,Carcinoma Large Cell,NA,NA,Male,NA,355,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H460,NCI-H460
NCI-H520,NCI-H520,Lung,25,NCI-H520,NCI-H520,3906,0.29848655,NCI-H520,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,lung,NCI-H520,Lung,NA,Lung,Carcinoma Squamous Cell,NA,NA,Male,NA,354,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H520,NCI-H520
NCI-H522,NCI-H522,Lung,58,NCI-H522,NCI-H522,3351,-0.649705322,NCI-H522,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,lung,NCI-H522,Lung,NA,Lung,Carcinoma Non-Small Cell,58,Years,Male,Caucasian,341,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H522,NCI-H522
NCI-H647,NCI-H647,Lung,47,NA,NCI-H647,1471,NA,NCI-H647,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCI-H650,NCI-H650,Lung,61,NCI-H650,NCI-H650,8403,-0.676658647,NCI-H650,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,1.352608226,lung,NCI-H650,Lung,Lymph Node,Lung,Carcinoma Non-Small Cell,NA,NA,Male,NA,389,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H650,NCI-H650
NCI-H661,NCI-H661,Lung,46,NCI-H661,NCI-H661,352,NA,NCI-H661,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCI-H716,NCI-H716,Unclassified,72,NCI-H716,NA,5294,-0.376341194,NCI-H716,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,11.09810827,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,large_intestine,NCI-H716,Colo-Rectal,NA,Cecum,Adenocarcinoma,NA,NA,Male,Caucasian,100,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","FBS, 90%; DMSO, 10%",NCI-H716,NCI-H716
NCI-H727,NCI-H727,Lung,42,NCI-H727,NCI-H727,2263,NA,NCI-H727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H727,Lung,NA,Lung,Tumor Carcinoid,65,Years,Female,Caucasian,144,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H727,NCI-H727
NCI-H82,NCI-H82,Lung,40,NCI-H82,NA,2814,-0.812652524,NCI-H82,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,lung,NCI-H82,Lung,NA,Lung,Carcinoma Small Cell,40,Years,NA,Caucasian,143,TRUE,"RPMI-1640 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H82,NCI-H82
NCI-H889,NCI-H889,Lung,59,NCI-H889,NA,6040,0.053511703,NCI-H889,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,lung,NCI-H889,Lung,NA,Lung,Carcinoma Small Cell,NA,NA,Female,Caucasian,230,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H889,NCI-H889
HCC1143,HCC1143,Breast,62,HCC1143,NA,642,0.580991805,HCC1143,-0.313914399,-0.082088935,-0.073373083,-0.22172157,2.511028087,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,NA,NA,breast,HCC1143,Breast,NA,Breast,Adenocarcinoma Ductal,52,Years,Female,Caucasian,559,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HCC1143,HCC1143
HCC1187,HCC1187,Breast,42,HCC1187,HCC1187,5085,0.43836672,HCC1187,-0.313914399,-0.082088935,-0.073373083,-0.22172157,2.511028087,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,breast,HCC1187,Breast,Soft Tissue,Breast,Adenocarcinoma Ductal,41,Years,Female,Caucasian,558,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HCC1187,HCC1187
HCC1419,HCC1419,Breast,60,HCC1419,NA,7426,0.734304221,HCC1419,-0.313914399,-0.082088935,-0.073373083,-0.22172157,2.511028087,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,breast,HCC1419,Breast,NA,Breast,Adenocarcinoma Ductal,42,Years,Female,Hispanic,556,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HCC1419,HCC1419
HCC-15,HCC-15,Lung,30,NA,HCC-15,1288,-0.147594782,HCC-15,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,lung,HCC-15,Lung,NA,Lung,Carcinoma Non-Small Cell,48,Years,Male,NA,502,TRUE,"RPMI-1640 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HCC-15,NA
HCC1806,HCC1806,Breast,35,HCC1806,HCC1806,795,0.892269515,HCC1806,-0.313914399,-0.082088935,-0.073373083,-0.22172157,2.511028087,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,-0.738098397,breast,HCC1806,Breast,NA,Breast,Carcinoma Squamous Cell,60,Years,Female,African,551,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth media, 10% DMSO",HCC1806,HCC1806
HCC1937,HCC1937,Breast,69,HCC1937,NA,1583,1.083203198,HCC1937,-0.313914399,-0.082088935,-0.073373083,-0.22172157,2.511028087,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,breast,HCC1937,Breast,Soft Tissue,Breast,Adenocarcinoma Ductal,23,Years,Female,Caucasian,550,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HCC1937,HCC1937
HCC1954,HCC1954,Breast,42,HCC1954,HCC1954,953,1.025151949,HCC1954,-0.313914399,-0.082088935,-0.073373083,-0.22172157,2.511028087,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,breast,HCC1954,Breast,Soft Tissue,Breast,Adenocarcinoma Ductal,61,Years,Female,East Indian,549,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HCC1954,HCC1954
HCC2218,HCC2218,Breast,85,HCC2218,NA,NA,NA,HCC2218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,HCC2218,Breast,Soft Tissue,Breast,Adenocarcinoma Ductal,38,Years,Female,Caucasian,547,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HCC2218,HCC2218
HCC38,HCC38,Breast,47,HCC38,NA,878,0.270527844,HCC38,-0.313914399,-0.082088935,-0.073373083,-0.22172157,2.511028087,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,breast,HCC38,Breast,Soft Tissue,Breast,Adenocarcinoma Ductal,50,Years,Female,Caucasian,546,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HCC38,HCC38
HCC4006,HCC4006,Lung,50,NA,HCC4006,944,0.927236286,HCC4006,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,lung,HCC4006,Lung,NA,Lung,Adenocarcinoma,50,Years,Male,Caucasian,345,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HCC4006,NA
HCC-44,HCC44,Lung,31,NA,HCC-44,213,-0.069781201,HCC-44,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,lung,HCC44,Lung,NA,Lung,Carcinoma Non-Small Cell,54,Years,Female,NA,238,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HCC-44,NA
HCC-78,HCC78,Lung,43,NA,HCC-78,592,0.961210915,HCC-78,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,lung,HCC78,Lung,NA,Lung,Adenocarcinoma,65,Years,Male,NA,237,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HCC-78,NA
HCC827,HCC827,Lung,44,NA,HCC827,710,0.81556343,HCC827,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,lung,HCC827,Lung,NA,Lung,Adenocarcinoma,NA,NA,Female,Caucasian,366,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HCC827,NA
HCT-116,HCT 116,Colon,21,HCT-116,HCT 116,287,0.516357008,HCT-116,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,3.613577764,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,1.352608226,large_intestine,HCT 116,Colo-Rectal,NA,Colon,Carcinoma,NA,NA,Male,NA,213,TRUE,"McCoys 5A,  10% FBS, 2mM L-glutamine","50% FBS, 40% media, 10% DMSO",HCT 116,HCT-116
HCT-15,HCT-15,Colon,21,HCT-15,HCT-15,567,0.782154696,HCT-15,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,3.613577764,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,1.352608226,large_intestine,HCT-15,Colo-Rectal,NA,Colon,Adenocarcinoma,NA,NA,Male,NA,523,FALSE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","90% FBS, 10% DMSO",HCT-15,HCT-15
